('forest', 0.0666666666666667, 0, 0, 0, 0.0666666666666667, 0.133333333333333, 0, 0, 0.733333333333333, 0)
('lay', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)
('people', 0.333333333333333, 0.333333333333333, 0, 0, 0.333333333333333, 0, 0, 0, 0, 0)
('Le', 0.1, 0.4, 0, 0, 0, 0.5, 0, 0, 0, 0)
('Corbusier', 0.1, 0.4, 0, 0, 0, 0.5, 0, 0, 0, 0)
('represent', 0.2, 0.2, 0, 0.4, 0, 0.2, 0, 0, 0, 0)
('human', 0.25, 0.25, 0, 0.25, 0, 0.25, 0, 0, 0, 0)
('creative', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)
('provide', 0.142857142857143, 0.142857142857143, 0.142857142857143, 0.142857142857143, 0, 0.142857142857143, 0, 0, 0.285714285714286, 0)
('response', 0.5, 0, 0, 0.5, 0, 0, 0, 0, 0, 0)
('certain', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)
('fundamental', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)
('social', 0.2, 0.2, 0, 0.2, 0.2, 0.2, 0, 0, 0, 0)
('challenge', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)
('20th', 0.333333333333333, 0.666666666666667, 0, 0, 0, 0, 0, 0, 0, 0)
('century', 0.0526315789473684, 0.526315789473684, 0.157894736842105, 0.105263157894737, 0, 0.157894736842105, 0, 0, 0, 0)
('early', 0, 0.625, 0, 0.25, 0, 0.125, 0, 0, 0, 0)
('Japan', 0, 0.428571428571429, 0.0952380952380952, 0.19047619047619, 0.0476190476190476, 0.0952380952380952, 0, 0, 0.142857142857143, 0)
('date', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('introduction', 0, 0.333333333333333, 0.333333333333333, 0, 0, 0.333333333333333, 0, 0, 0, 0)
('Buddhism', 0, 0.428571428571429, 0, 0, 0, 0.571428571428571, 0, 0, 0, 0)
('country', 0, 0.666666666666667, 0, 0.333333333333333, 0, 0, 0, 0, 0, 0)
('profound', 0, 0.8, 0, 0.2, 0, 0, 0, 0, 0, 0)
('influence', 0, 0.5, 0, 0.25, 0, 0.125, 0, 0, 0.125, 0)
('subsequent', 0, 0.5, 0, 0.5, 0, 0, 0, 0, 0, 0)
('religious', 0, 0.375, 0.25, 0, 0, 0.375, 0, 0, 0, 0)
('Kyoto', 0, 0.5, 0, 0.5, 0, 0, 0, 0, 0, 0)
('main', 0, 0.333333333333333, 0.333333333333333, 0, 0, 0, 0, 0, 0.333333333333333, 0)
('centre', 0, 0.428571428571429, 0.142857142857143, 0, 0, 0.285714285714286, 0, 0, 0.142857142857143, 0)
('evolution', 0, 0.5, 0.25, 0, 0, 0, 0, 0, 0.25, 0)
('secular', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('garden', 0, 0.75, 0, 0.125, 0, 0.125, 0, 0, 0, 0)
('8th', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('17th', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('such', 0, 0.25, 0, 0, 0.25, 0, 0, 0, 0.25, 0.25)
('play', 0, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 0)
('decisive', 0, 0.333333333333333, 0, 0.666666666666667, 0, 0, 0, 0, 0, 0)
('creation', 0, 0.5, 0, 0.5, 0, 0, 0, 0, 0, 0)
('Japanese', 0, 0.333333333333333, 0.0555555555555556, 0.166666666666667, 0, 0.166666666666667, 0.111111111111111, 0, 0.166666666666667, 0)
('cultural', 0, 0.555555555555556, 0.222222222222222, 0.111111111111111, 0, 0.111111111111111, 0, 0, 0, 0)
('tradition', 0, 0.444444444444444, 0.444444444444444, 0, 0, 0.111111111111111, 0, 0, 0, 0)
('case', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('particular', 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0.5)
('effect', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('rest', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('world', 0, 0.142857142857143, 0, 0.142857142857143, 0, 0.428571428571429, 0, 0, 0, 0.285714285714286)
('19th', 0, 0.5, 0.25, 0.25, 0, 0, 0, 0, 0, 0)
('Itsukushima-jinja', 0, 0.666666666666667, 0, 0.333333333333333, 0, 0, 0, 0, 0, 0)
('general', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('Shinto', 0, 0.2, 0.2, 0.2, 0, 0.4, 0, 0, 0, 0)
('invaluable', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('information', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('understanding', 0, 0.5, 0, 0, 0, 0, 0, 0, 0.5, 0)
('evolve', 0, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 0)
('spiritual', 0, 0.2, 0.2, 0, 0.2, 0.4, 0, 0, 0, 0)
('culture', 0, 0.4, 0.4, 0.2, 0, 0, 0, 0, 0, 0)
('concept', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('scenic', 0, 0.666666666666667, 0, 0, 0, 0, 0.333333333333333, 0, 0, 0)
('beauty', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('important', 0, 0.25, 0, 0, 0, 0.125, 0, 0, 0.375, 0.25)
('setting', 0, 0.333333333333333, 0, 0.333333333333333, 0, 0, 0.333333333333333, 0, 0, 0)
('central', 0, 0.25, 0, 0, 0, 0, 0.25, 0, 0.5, 0)
('part', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('trinity', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('foreground', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('background', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('recognize', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('standard', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('other', 0, 0.333333333333333, 0, 0, 0, 0.166666666666667, 0, 0, 0.5, 0)
('example', 0, 0.0769230769230769, 0.0769230769230769, 0.384615384615385, 0, 0.153846153846154, 0.0769230769230769, 0, 0.230769230769231, 0)
('come', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('understand', 0, 0.5, 0, 0, 0, 0.5, 0, 0, 0, 0)
('historic', 0, 0.333333333333333, 0, 0.333333333333333, 0.333333333333333, 0, 0, 0, 0, 0)
('Ancient', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)
('Nara', 0, 0.25, 0.25, 0.25, 0, 0.25, 0, 0, 0, 0)
('bear', 0, 0.333333333333333, 0.166666666666667, 0, 0.166666666666667, 0, 0, 0, 0.166666666666667, 0.166666666666667)
('exceptional', 0, 0.375, 0.375, 0, 0, 0.25, 0, 0, 0, 0)
('witness', 0, 0.666666666666667, 0, 0, 0.333333333333333, 0, 0, 0, 0, 0)
